x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-0.992188,0.601562,inf,inf,inf,inf,inf,0
-0.992188,0.609375,inf,inf,inf,inf,inf,0
-0.992188,0.617188,inf,inf,inf,inf,inf,0
-0.992188,0.625,inf,inf,inf,inf,inf,0
-0.992188,0.632812,inf,inf,inf,inf,inf,0
-0.992188,0.640625,inf,inf,inf,inf,inf,0
-0.992188,0.648438,inf,inf,inf,inf,inf,0
-0.992188,0.65625,inf,inf,inf,inf,inf,0
-0.992188,0.664062,inf,inf,inf,inf,inf,0
-0.992188,0.671875,inf,inf,inf,inf,inf,0
-0.992188,0.679688,inf,inf,inf,inf,inf,0
